idx,class,epoch-0,epoch-1,epoch-2,epoch-3,epoch-4
sample-10167,1,16.1529,17.125,17.7222,17.4025,17.406
sample-10171,1,16.2264,15.5755,18.1593,18.0666,18.9272
sample-10181,1,14.4874,14.962,16.1228,16.1255,16.9099
sample-10254,1,14.2322,15.5598,16.4851,17.1791,15.3617
sample-10255,1,15.4796,16.8004,16.6501,17.2045,17.6413
sample-10274,1,11.8414,12.4419,13.2816,14.3191,14.9242
sample-10279,1,13.6848,14.1638,16.8482,19.2399,19.2319
sample-10301,1,15.2364,15.8892,16.9001,16.6708,17.5595
sample-10337,1,14.7299,15.9142,16.5037,17.0673,17.092
sample-10361,1,12.4649,13.4221,14.3356,15.7252,14.7522
sample-10413,1,18.9391,20.1852,20.2101,19.1522,20.7603
sample-10446,1,14.8053,15.923,15.3124,15.1988,14.4749
sample-10447,1,15.9242,16.464,18.2512,18.9901,19.3633
sample-10455,1,16.4874,15.6111,16.3238,16.6172,17.0492
sample-10513,1,13.1737,14.7536,15.4235,15.1187,14.9096
sample-10514,1,12.0271,14.4317,16.1479,17.9586,17.0211
sample-10515,1,12.6539,14.8825,15.5681,15.6757,14.7721
sample-10516,1,12.4372,14.0267,14.8958,14.6187,14.1559
sample-10517,1,11.9116,14.1238,14.6447,15.0202,14.3928
sample-10647,1,18.8762,17.4818,18.4443,18.1096,18.5222
sample-10667,1,18.3482,17.0537,18.6507,18.621,19.7129
sample-10721,1,14.2653,15.3423,16.2947,16.6228,17.2516
sample-10745,1,15.7839,17.8027,18.8539,20.4751,19.6518
sample-10873,1,13.5407,13.4382,14.6011,16.047,16.3894
sample-10936,1,12.6699,12.7175,14.2204,16.4205,15.9225
sample-10940,1,15.6585,16.0407,16.6999,16.6436,17.1393
sample-11029,1,16.0452,16.3762,16.4865,17.1159,16.8487
sample-11124,1,14.6054,15.8871,17.1892,16.8372,17.1982
sample-11133,1,14.3914,17.0354,16.8073,15.3193,15.1426
sample-11134,1,14.3196,16.6822,17.2669,15.571,15.1891
sample-11328,1,13.7449,15.7295,16.7581,17.9652,17.5124
sample-11329,1,15.1616,16.8208,17.7147,16.6269,15.4647
sample-11334,1,17.6191,15.5751,16.5066,16.316,15.9128
sample-11335,1,15.0917,14.8776,15.0945,15.7148,14.8525
sample-11356,1,18.2999,19.2581,18.143,17.2406,18.3901
sample-11500,1,15.3777,14.7748,15.3576,15.9614,15.747
sample-11591,1,12.032,14.9266,15.673,19.0392,19.2604
sample-11632,1,16.1111,17.7833,17.8952,17.2374,16.9868
sample-11777,1,13.7825,15.5117,16.1728,18.4766,19.1026
sample-11817,1,18.377,19.4819,20.827,20.8773,20.7754
sample-11885,1,12.5258,14.7396,16.0073,17.1347,17.5112
sample-11985,1,14.5727,16.1909,16.1476,15.9189,16.0261
sample-12152,1,13.222,15.345,15.3433,17.3377,16.5714
sample-12315,1,15.7793,16.0781,18.358,19.1849,20.3218
sample-12318,1,14.5838,15.0732,15.9501,17.0748,18.2877
sample-12322,1,13.059,13.1375,14.6852,14.7797,15.881
sample-12336,1,12.2214,14.4259,13.5409,14.2337,14.0316
sample-12380,1,17.8826,16.6721,18.4089,20.0213,19.4065
sample-12395,1,12.4431,11.2383,14.0199,15.1458,15.4497
sample-12438,1,13.9756,15.4883,15.6641,17.4035,18.9899
sample-12456,1,14.2924,16.0568,15.5633,14.8873,14.1917
sample-12493,1,13.7916,14.2385,18.1003,20.1572,19.1347
sample-12502,1,14.0841,14.1765,15.4041,16.5572,16.0514
sample-12510,1,20.4779,20.0103,20.4517,21.0178,20.3178
sample-12579,1,15.8839,15.1929,16.0835,16.9352,16.9106
sample-12625,1,16.7065,16.5375,17.2848,16.0077,17.2223
sample-12629,1,16.0986,14.2944,14.4052,14.1954,13.9476
